CTE,dCTE,curvature,dCurvature,HeadingError,steerAngle
0.277934798277341,-0.00150001708405378,0.000632730452566246,6.87199803674591e-05,-0.00617430286817205,-0.027
0.275429247314859,-0.00250555096248234,0.00068998968614778,5.72592335815341e-05,-0.00532781733431975,-0.027
0.273244117382016,-0.00218512993284253,0.000758694218906876,6.87045327590957e-05,-0.0044739090156356,-0.027
0.271410151696909,-0.00183396568510691,0.000815943796488277,5.72495775814009e-05,-0.00367647725145087,-0.027
0.269875595879195,-0.00153455581771378,0.000884639361067198,6.86955645789211e-05,-0.00512705338760688,-0.027
0.267769640854243,-0.00210595502495187,0.000941882998308048,5.72436372408505e-05,-0.0066250749330905,-0.027
0.265037732629577,-0.00273190822466668,0.00101057269788127,6.86896995732237e-05,-0.00479754157316964,-0.027
0.263048380569499,-0.00198935206007811,0.0010792598653171,6.86871674358243e-05,-0.00407277332212574,-0.027
0.26136049412894,-0.00168788644055823,0.00113649741107195,5.72375457548531e-05,-0.00564937406436272,-0.027
0.259016504808042,-0.00234398932089891,0.00117604488908605,3.95474780140986e-05,-0.00615357374731224,-0.027
0.256481968226249,-0.00253453658179259,0.00113904217965286,-3.70027094331877e-05,-0.00431288429667853,-0.027
0.254672370021309,-0.0018095982049397,0.00108988312050969,-4.91590591431704e-05,-0.00704601745855771,-0.027
0.25178425398244,-0.00288811603886951,0.00104072363859017,-4.9159481919518e-05,-0.00524767242250224,-0.027
0.249630118722775,-0.0021541352596649,0.000999757106407243,-4.09665321829292e-05,-0.00561219116909978,-0.027
0.247319523611025,-0.00231059511174986,0.000950596914324889,-4.91601920823536e-05,-0.00603022039610412,-0.027
0.244853767503518,-0.00246575610750738,0.000909629771205798,-4.09671431190908e-05,-0.0063624171047803,-0.027
0.242245162333224,-0.00260860517029371,0.000860468754858733,-4.91610163470655e-05,-0.00674166009038613,-0.027
0.239496929317302,-0.00274823301592153,0.000819500790588008,-4.09679642707249e-05,-0.0070415351199779,-0.027
0.236619597876188,-0.00287733144111382,0.00077033854594658,-4.91622446414273e-05,-0.00630877696723187,-0.027
