CTE,dCTE,curvature,dCurvature,yawRate,steerAngle
-0.0100939169673612,0,0.000632730452566246,0,0,-0.025
-0.0117060938445474,-0.00161217687718618,0.000701440887545869,6.87104349796235e-05,0.0375,-0.025
-0.0120991545792243,-0.000393060734676914,0.000758694218906876,5.72533313610063e-05,0.0375,-0.025
-0.0135161138832241,-0.00141695930399979,0.000827393330488704,6.86991115818282e-05,0.0375,-0.025
-0.015064681336095,-0.00154856745287095,0.00089608826677133,6.86949362826259e-05,0.0375,-0.025
-0.0158556752865829,-0.000790993950487911,0.000953331472173471,5.72432054021412e-05,0.0375,-0.025
-0.0181277453427831,-0.0022720700562001,0.00102202072647086,6.8689254297387e-05,0.0375,-0.025
-0.0192338917828596,-0.00110614644007655,0.0010792598653171,5.72391388462383e-05,0.0375,-0.025
-0.0205102061978231,-0.00127631441496346,0.00114794101155228,6.86811462351884e-05,0.0375,-0.025
-0.0215456436362464,-0.00103543743842338,0.00117604488908605,2.81038775337633e-05,0.0375,-0.025
-0.0231930966168144,-0.00164745298056792,0.00113084903516651,-4.51958539195376e-05,0.0375,-0.025
-0.0250204864889019,-0.0018273898720875,0.00108168990154463,-4.9159133621885e-05,0.036,-0.024
-0.0270253309268032,-0.00200484443790133,0.00104072363859017,-4.09662629544535e-05,0.036,-0.024
-0.0291930223374971,-0.00216769141069394,0.00099156376850535,-4.91598700848221e-05,0.036,-0.024
-0.0301924676123023,-0.000999445274805132,0.000950596914324889,-4.09668541804607e-05,0.036,-0.024
-0.0326713884208274,-0.00247892080852511,0.000901436304213643,-4.91606101112459e-05,0.0345,-0.023
-0.0343908568222238,-0.00171946840139644,0.000860468754858733,-4.09675493549103e-05,0.0345,-0.023
-0.0367276766920567,-0.00233681986983285,0.000811307140157109,-4.91616147016242e-05,0.0345,-0.023
-0.0387116818003873,-0.00198400510833065,0.000762144750859097,-4.91623892980119e-05,0.0345,-0.023
-0.0403973481596223,-0.00168566635923501,0.0007211753257357,-4.09694251233968e-05,0.0345,-0.023
-0.0426190626345062,-0.00222171447488385,0.000672010810085651,-4.9164515650049e-05,0.0345,-0.023
-0.0445275248560132,-0.00190846222150705,0.000631066525178698,-4.09442849069526e-05,0.0345,-0.023
-0.0465353526967398,-0.00200782784072653,0.000596543787913303,-3.4522737265395e-05,0.0345,-0.023
-0.0490623221923788,-0.00252696949563901,0.000580788409434864,-1.57553784784389e-05,0.0345,-0.023
-0.0512587867056079,-0.00219646451322913,0.000561956731024233,-1.88316784106309e-05,0.0345,-0.023
-0.0535448398945671,-0.00228605318895919,0.000543124861685275,-1.88318693389582e-05,0.0345,-0.023
-0.0550131467525029,-0.00146830685793584,0.000527431499674198,-1.56933620110767e-05,0.0345,-0.023
-0.0578924649206623,-0.00287931816815933,0.000508599304508419,-1.88321951657794e-05,0.0345,-0.023
-0.0595261351237736,-0.00163367020311133,0.000492905679182308,-1.5693625326111e-05,0.0345,-0.023
-0.0612373900097196,-0.00171125488594602,0.000474073173283273,-1.88325058990353e-05,0.0345,-0.023
-0.0630253552889041,-0.0017879652791845,0.000458379287548811,-1.56938857344614e-05,0.0345,-0.023
-0.0648857375824185,-0.00186038229351437,0.000439546464229917,-1.88328233188941e-05,0.0345,-0.023
-0.0677232755616805,-0.00283753797926206,0.000420713455945793,-1.88330082841243e-05,0.0345,-0.023
-0.0683946684084798,-0.000671392846799276,0.000405019130853272,-1.56943250925206e-05,0.0345,-0.023
-0.0704574496513549,-0.00206278124287507,0.000386413115528802,-1.86060153244699e-05,0.0345,-0.023
-0.0725830980807407,-0.0021256484293858,0.000377217577214476,-9.19553831432604e-06,0.0345,-0.023
-0.0747682636578965,-0.00218516557715581,0.00037079635049023,-6.42122672424642e-06,0.0345,-0.023
-0.0761048428935685,-0.00133657923567203,0.000364383119476449,-6.41323101378051e-06,0.0345,-0.023
