CTE,curvature,HeadingError,steerAngle
0.00796349348722471,0.000999781064353232,-0.000281032015455318,-0.023
0.00790187961215356,0.000920195263388458,0.00215953699857474,-0.0209997026736751
0.0086736914470543,0.000855320976070005,0.000184705944778485,-0.0199983366540167
0.00851236351281625,0.000868029812822504,-0.000106315857575423,-0.0190002933957382
0.00825556735992413,0.000969449394669492,-0.00312100307566937,-0.0169989239634453
0.0071422204576965,0.00101320816139502,0.00115404825286092,-0.016
0.00764341799919828,0.000946910057170421,-0.00208949087376642,-0.016
0.00669131229576573,0.000799745362620124,0.000447291293185992,-0.0159992213666882
0.00672451198221324,0.000714813413620006,-0.00150044330119958,-0.0150001108036324
0.00598864919705943,0.000755311025373053,-0.000987039223569242,-0.015
0.00563146314564796,0.000843021212515806,-0.00403921621478864,-0.015
0.00399155670097377,0.000867367515640795,-0.000987772328279291,-0.015
0.00346933464534781,0.000802208176066213,-0.00265071346317858,-0.015
0.00244745327131544,0.000716572896561886,-0.0012185548651697,-0.015
0.00199612997220262,0.000668785190227286,-0.00147609381859898,-0.015
0.00110002800650879,0.000660376735054985,-0.00461612533983924,-0.015
-0.000792602324237904,0.000659178063099243,-0.00339639452807666,-0.0139992664871042
-0.00180516769306696,0.000666210626763661,0.000556534338994108,-0.0130001559240481
-0.00170559472216269,0.000662928597472329,-0.00394242630354175,-0.0129999810215466
-0.00368283270309128,0.000616406583690024,-0.00442876118728586,-0.0119986125946266
-0.00525941038667803,0.00053668844897999,-0.00271297740734228,-0.0109995020315708
-0.00626438221567221,0.000476252142384875,-0.00143499654878859,-0.0100003914685147
-0.00716644351277423,0.000469598073256906,-0.00463301421599344,-0.0099979562910539
-0.0091500469686831,0.000532121637741435,-0.00518055083535124,-0.009
-0.0111467439205304,0.000652702080435944,-0.0024059299117864,-0.009
-0.0119915553037981,0.000692996742464713,-0.00386818379639242,-0.009
-0.0135248662891557,0.000597207209752917,-0.00504459669802748,-0.009
-0.0157299300178628,0.00043444951635166,-0.00292025764760712,-0.00900091970637603
-0.0169936833778478,0.000357802298863593,-0.00562544278772714,-0.01
-0.0192509550629566,0.000429232875965903,-0.00580518261667373,-0.0100002041502417
-0.0217003441847864,0.000562117517790886,-0.00563154505758268,-0.0109993147132978
-0.023969330261047,0.000584979672356826,-0.00656286068026424,-0.0120017498907586
-0.0262386005559047,0.000522786436112858,-0.00207809835704253,-0.0130008613705685
-0.0270571646392266,0.000442406330573207,-0.00476535650206339,-0.0140010353134646
-0.0294732699257916,0.000376345184170491,-0.005120900752899,-0.0150001460319421
-0.0315725077635622,0.000362933120137217,-0.00692643195013748,-0.0160006414723419
-0.0342026186736938,0.000379557312660974,-0.00405061699037301,-0.0179988625984535
-0.0359673132384847,0.000418012471385191,-0.0052520760821182,-0.0199992114785333
-0.0381842157105364,0.000447076308177438,-0.00575719869934999,-0.0209997807852173
-0.040401150979949,0.000437642656170479,-0.00737322899677911,-0.0229999116623367
-0.0432213011606946,0.000364153109303382,-0.00418159524269512,-0.0259971993236986
-0.0448267573915857,0.000271592503724131,-0.00399237902522381,-0.0279984809850838
-0.0466066163375547,0.000210761444807451,-0.00322624983527442,-0.0299988310769858
-0.0480868145271529,0.000252603356735833,-0.00645466859257876,-0.0320019526774442
-0.0506823632314757,0.000334568457028323,-0.00632859779136058,-0.0350016518768649
-0.0531366336867871,0.00035984622895722,-0.00239471067312419,-0.0370019995574096
-0.0540135806867981,0.000300498959520827,-0.0030396686400741,-0.0389999402423661
-0.0552677441621339,0.00020900828923898,-0.00245538575559118,-0.0410024079743928
-0.056338749601245,0.000199651530353926,-0.00396644495293924,-0.0430001747251691
-0.0579329574182527,0.000217711561941183,-0.00284439776396461,-0.0440014081956883
-0.0590286713448191,0.000215659623266526,-0.00259612393038217,-0.0450003785381666
-0.0600112496593847,0.000224694968896215,-0.000174451696597799,-0.0459993488806444
-0.0601988865961358,0.000290566648751569,-0.00122719794081849,-0.0469993700709827
-0.0608553274960873,0.000405332229676373,-0.0019783132470354,-0.047
-0.0615332268396695,0.000496084034754278,0.00132792560456985,-0.047
-0.0608412761240563,0.000443876747311187,-0.000187539955674609,-0.0469995168324648
-0.0609354329980179,0.000305813832990637,0.00174422664643686,-0.0459994944271751
