CTE,dCTE,curvature,HeadingError,steerAngle
-0.0100939169673612,0,0.000632730452566246,-0.0039201082417788,-0.025
-0.0117060938445474,-0.00161217687718618,0.000701440887545869,-0.00087270500913833,-0.025
-0.0120991545792243,-0.000393060734676917,0.000758694218906876,-0.0033919087999616,-0.025
-0.0135161138832241,-0.00141695930399979,0.000827393330488704,-0.00373585401066528,-0.025
-0.015064681336095,-0.00154856745287095,0.00089608826677133,-0.00185419520018715,-0.025
-0.0158556752865829,-0.000790993950487907,0.000953331472173471,-0.00552518621601139,-0.025
-0.018127745342783,-0.0022720700562001,0.00102202072647086,-0.00261571488710394,-0.025
-0.0192338917828596,-0.00110614644007656,0.0010792598653171,-0.00299470123313622,-0.025
-0.0205102061978231,-0.00127631441496345,0.00114794101155228,-0.00240336327644497,-0.025
-0.0215456436362464,-0.00103543743842338,0.00117604488908605,-0.00389841286844667,-0.025
-0.0231930966168144,-0.00164745298056792,0.00113084903516651,-0.00439401554288588,-0.025
-0.0250204864889019,-0.0018273898720875,0.00108168990154463,-0.00486846174915173,-0.024
-0.0270253309268032,-0.00200484443790133,0.00104072363859017,-0.00524767242253277,-0.024
-0.0291930223374971,-0.00216769141069395,0.00099156376850535,-0.0023540501523191,-0.024
-0.0301924676123023,-0.000999445274805118,0.000950596914324889,-0.00603022039607359,-0.024
-0.0326713884208274,-0.00247892080852512,0.000901436304213643,-0.0041670758745545,-0.023
-0.0343908568222238,-0.00171946840139643,0.000860468754858733,-0.00566844472365335,-0.023
-0.0367276766920567,-0.00233681986983286,0.000811307140157109,-0.00483972957559803,-0.023
-0.0387116818003873,-0.00198400510833065,0.000762144750859097,-0.00410739665948517,-0.023
-0.0403973481596223,-0.00168566635923501,0.0007211753257357,-0.00544127632418262,-0.023
-0.0426190626345062,-0.00222171447488385,0.000672010810085651,-0.0046701581917285,-0.023
-0.0445275248560132,-0.00190846222150706,0.000631066525178698,-0.00490245287563518,-0.023
-0.0465353526967398,-0.00200782784072653,0.000596543787913303,-0.00623313020197502,-0.023
-0.0490623221923787,-0.00252696949563899,0.000580788409434864,-0.00537444742456555,-0.023
-0.0512587867056079,-0.00219646451322915,0.000561956731024233,-0.00561971547962681,-0.023
-0.0535448398945671,-0.00228605318895919,0.000543124861685275,-0.00359599319505666,-0.023
-0.0550131467525029,-0.00146830685793583,0.000527431499674198,-0.00711758705438537,-0.023
-0.0578924649206623,-0.00287931816815935,0.000508599304508419,-0.00400974121998543,-0.023
-0.0595261351237736,-0.00163367020311133,0.000492905679182308,-0.00418880279784528,-0.023
-0.0612373900097196,-0.00171125488594601,0.000474073173283273,-0.00439624696564761,-0.023
-0.0630253552889041,-0.0017879652791845,0.000458379287548811,-0.00456292565957156,-0.023
-0.0648857375824185,-0.00186038229351437,0.000439546464229917,-0.00701639561344464,-0.023
-0.0677232755616805,-0.00283753797926206,0.000420713455945793,-0.00161782593102039,-0.023
-0.0683946684084798,-0.00067139284679929,0.000405019130853272,-0.00508753132524514,-0.023
-0.0704574496513549,-0.00206278124287507,0.000386413115528802,-0.00525715133276811,-0.023
-0.0725830980807407,-0.00212564842938578,0.000377217577214476,-0.00539334525830942,-0.023
-0.0747682636578965,-0.0021851655771558,0.00037079635049023,-0.00328839866455566,-0.023
-0.0761048428935685,-0.00133657923567204,0.000364383119476449,-0.00465161315659329,-0.023
-0.0779888898430826,-0.00188404694951404,0.000359038770021122,-0.00357593754375196,-0.023
-0.0794413281775702,-0.0014524383344876,0.000352625562686479,-0.0037288665005531,-0.023
-0.0809511569917661,-0.00150982881419595,0.000347281234369225,-0.00505942371305929,-0.023
-0.0830038500322315,-0.0020526930404654,0.000340868053089903,-0.00400206715764301,-0.023
-0.0846235059351987,-0.00161965590296721,0.000335523747485214,-0.00306671478686649,-0.023
-0.0858768590495156,-0.00125335311431686,0.000329110594350977,-0.0042659901956249,-0.023
-0.0876017266526391,-0.00172486760312353,0.000322697457513647,-0.00334957032803762,-0.023
-0.0889604235771312,-0.00135869692449204,0.000317353188479851,-0.0011977026725995,-0.023
-0.0894608608251731,-0.000500437248041954,0.000310940080600593,-0.00465562282106935,-0.023
-0.0913387967407784,-0.00187793591560532,0.00030370220247547,-0.00370953577068334,-0.023
-0.0928455279204387,-0.00150673117966021,0.000270508296031664,-0.0015666541044792,-0.023
-0.0934881698007812,-0.000642641880342507,0.00023769051589872,-0.00392320638039911,-0.023
-0.0950762893313315,-0.00158811953055032,0.000198290013468698,-0.00174932791867388,-0.023
-0.0957878846488259,-0.000711595317494373,0.000158853900728287,-0.00287742052643036,-0.023
-0.0969442580707191,-0.00115637342189322,0.000125939075971897,-0.00187510558715215,-0.023
-0.0977019771512703,-0.000757719080551181,8.62991937090454e-05,-0.00418619604837828,-0.023
-0.0993825171140137,-0.00168053996274349,5.29082127459854e-05,-0.00194398709961502,-0.023
-0.100163001644986,-0.000780484530971765,6.7206993275364e-06,0.000313652447256174,-0.023
-0.100037730403939,0.000125271241046762,-1.12370922267182e-05,-0.000908303904219865,-0.023
-0.100399286668674,-0.000361556264734775,-5.53752910586434e-05,-0.00193852890458551,-0.023
-0.101170066378275,-0.00077077970960171,-9.5344159966745e-05,-0.00190415757416768,-0.022
-0.10192552788075,-0.000755461502474852,-0.000127628596844237,0.000408646397459578,-0.022
-0.101752805751457,0.000172722129292993,-0.000107847558838775,-0.00180758708740314,-0.022
-0.102470404529139,-0.000717598777682044,-6.24606766552508e-05,0.0015369152763714,-0.022
-0.101851572013653,0.000618832515485654,-1.42310661285027e-05,0.000507895408471348,-0.022
-0.101649126438298,0.00020244557535555,2.71886561314915e-05,-0.00176867300864159,-0.022
-0.102360816329757,-0.000711689891458991,8.39837987244875e-05,0.00151876553068103,-0.022
-0.101759519152455,0.000601297177301841,0.000137928702199119,0.000424840982564734,-0.022
-0.101598745962278,0.000160773190177224,0.000182557471184265,0.00140902822774835,-0.022
-0.101048865723997,0.000549880238281258,0.000235973725095983,0.000273106511559151,-0.022
-0.100955312542272,9.35531817248952e-05,0.000280430723472075,0.00349419672729029,-0.022
-0.0995801493279069,0.00137516321436476,0.000333742053308945,4.43771964719897e-05,-0.022
-0.0995843204716843,-4.17114377733452e-06,0.000387028742576988,0.000930776012136036,-0.022
-0.099233429762899,0.000350890708785329,0.000431422077949462,0.00305416626988481,-0.022
-0.0980418079347223,0.00119162182817667,0.000480286411078563,-0.000460558032585379,-0.023
-0.0982538031553171,-0.000211995220594841,0.000465468492914241,0.00268311020821516,-0.023
-0.0972126049227128,0.00104119823260429,0.000423692590868293,0.000221258340403541,-0.023
-0.0971492520432738,6.33528794390104e-05,0.000388875964634988,0.0023485950343578,-0.024
-0.096238193587389,0.00091105845588485,0.000347090599723658,0.00219159285478893,-0.024
-0.0953825298386046,0.000855663748784388,0.000305297048275895,0.00101303618669191,-0.024
-0.0949940489863438,0.000388480852260786,0.000270460094287096,0.00195043335620704,-0.025
-0.0942310803517891,0.000762968634554703,0.000228639349038019,0.00184435243245512,-0.025
-0.0935057476488969,0.000725332702892198,0.000193767170770872,0.00404629858064687,-0.025
-0.0919015621039884,0.00160418554490853,0.0001518744182834,0.00273135763537063,-0.025
-0.0908149535265702,0.00108660857741812,0.000116888432506512,0.00164933399752143,-0.025
-0.0901629725412281,0.000651980985342152,7.46696301190058e-05,0.00388576923571032,-0.025
-0.0886139656258366,0.00154900691539149,3.11903831748424e-05,0.00386355848486508,-0.025
-0.0870709899660902,0.00154297565974641,1.52632629436257e-06,0.00158215404363449,-0.025
-0.0864377638391722,0.000633226126918018,-1.67165701567609e-06,0.00489084765320985,-0.025
-0.0844786311033659,0.00195913273580624,3.17895129956682e-07,0.00386030340082827,-0.025
-0.0829359878868219,0.00154264321654407,3.47721920741455e-06,0.00488999234939813,-0.025
-0.0809775506454031,0.00195843724141873,6.07905513367318e-06,0.0061387706454159,-0.025
-0.0785273028027746,0.0024502478426285,9.15514281765059e-06,0.0048847278352851,-0.025
-0.0765713458757592,0.00195595692701549,1.22170256504061e-05,0.00384929578011339,-0.025
-0.0750337238040223,0.00153762207173687,1.47641398938556e-05,0.00715224392280767,-0.025
-0.0721728825238804,0.00286084128014193,1.78179343827924e-05,0.00383721703153406,-0.025
-0.0706404763868855,0.0015324061369949,2.03613926091703e-05,0.00713816098811693,-0.025
-0.0677857629914236,0.00285471339546188,2.34125054738127e-05,0.00712862096061984,-0.025
-0.0649348348126856,0.00285092817873801,2.5954505326922e-05,0.00711966884509979,-0.025
-0.0620880709145082,0.00284676389817741,2.90556322581795e-05,0.00608115864400283,-0.025
-0.0596622822203939,0.00242578869411426,4.0686688626419e-05,0.0070930152028264,-0.024
